Row:4,Test Case:NAME, Step Name: ACTION
Row:78,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Release the front washer button
Row:80,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Disconnect left stalk switches
Row:81,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:82,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Check EPB stuck DTC status
Row:83,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Connect left stalk switches
Row:84,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Wait 8s
Row:85,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Send diagnostic request "ReportDTCExtendedDataRecordByDTCNumber 0x10"
Row:95,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:97,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: For loop: Start value = 1, Stop value = 255, iterator+= 1
Row:98,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: (In for loop)Send diagnostic request "ECU hard reset"
Row:100,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: (In for loop)Check OCC2 value
Row:101,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: (In for loop)Wait for FDC10 reached TestPass limit
Row:102,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Send diagnostic request "ECU hard reset"
Row:104,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:105,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Disconnect F&R washer wire
Row:108,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:109,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Connect F&R washer wire
Row:111,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:112,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Wait 10ms
Row:113,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Send diagnostic request "ECU hard reset"
Row:115,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:116,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Wait 10ms
Row:117,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Send diagnostic request "ECU hard reset"
Row:119,Test Case:B182F29 - OCC 2 Fault free operation cycles since first failed, Step Name: Check OCC2 value
Row:127,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Disconnect F&R washer wire
Row:130,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Connect F&R washer wire
Row:131,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:133,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: For loop: Start value = 1, Stop value = 255, iterator+= 1
Row:136,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: (In for loop)Check OCC1 value
Row:137,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Wait 10ms
Row:140,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:142,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Disconnect F&R washer wire
Row:143,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check that the SWMLeLvrDiagLeLvrDiagc value has been set to 4 within 2s
Row:144,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Wait for 16s until the DTC reached TestFailed Limit
Row:145,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Connect F&R washer wire
Row:146,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:148,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:149,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Wait 10ms
Row:150,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Send diagnostic request "ECU hard reset"
Row:151,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Wait for the diagnostics to start
Row:152,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:153,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Send diagnostic request "ECU hard reset"
Row:154,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Wait for the diagnostics to start
Row:155,Test Case:B182F29 - OCC 1 Operation cycle since last failed, Step Name: Check OCC1 value
Row:158,Test Case:B183F2A DTC Storage, Step Name: Press and hold the EPB
Row:165,Test Case:B183F2A DTC Storage, Step Name: Wait 10ms
Row:169,Test Case:B183F2A DTC Storage, Step Name: wait 10ms
Row:172,Test Case:B183F2A DTC Storage, Step Name: Release the EPB
Row:175,Test Case:B183F2A DTC Storage, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:176,Test Case:B183F2A DTC Storage, Step Name: Check DTC status
Row:177,Test Case:B183F2A DTC Storage, Step Name: Wait 10ms
Row:178,Test Case:B183F2A DTC Storage, Step Name: Check OCC1 value
Row:179,Test Case:B183F2A DTC Storage, Step Name: Wait 10ms
Row:180,Test Case:B183F2A DTC Storage, Step Name: Check OCC2 value
Row:181,Test Case:B183F2A DTC Storage, Step Name: wait 10ms
Row:182,Test Case:B183F2A DTC Storage, Step Name: Check OCC4 value
Row:183,Test Case:B183F2A DTC Storage, Step Name: wait 10ms
Row:185,Test Case:B183F2A DTC Storage, Step Name: wait 10ms
Row:186,Test Case:B183F2A DTC Storage, Step Name: Check SI30 value
Row:193,Test Case:B182F29 FDC10, Step Name: Wait 500 ms
Row:194,Test Case:B182F29 FDC10, Step Name: For loop: Start value = 244, Stop value = 136, iterator-= 12
Row:195,Test Case:B182F29 FDC10, Step Name: (In for loop) Check FDC10 value
Row:198,Test Case:B182F29 FDC10, Step Name: Disconnect F&R washer wire
Row:200,Test Case:B182F29 FDC10, Step Name: For loop: Start value = 0, Stop value = 5, iterator+= 1
Row:201,Test Case:B182F29 FDC10, Step Name: (In for loop) Check FDC10 value
Row:203,Test Case:B182F29 FDC10, Step Name: For loop: Start value = 12, Stop value = 120, iterator+= 12
Row:204,Test Case:B182F29 FDC10, Step Name: (In for loop) Check FDC10 value
Row:205,Test Case:B182F29 FDC10, Step Name: (In for loop) Wait 1s for the next FDC10 test period
Row:206,Test Case:B182F29 FDC10, Step Name: Check FDC10 value
Row:207,Test Case:B182F29 FDC10, Step Name: Connect F&R washer wire
Row:209,Test Case:B182F29 FDC10, Step Name: Send diagnostic request "ReportDTCExtendedDataRecordByDTCNumber 0x10"
Row:210,Test Case:B182F29 FDC10, Step Name: Check FDC10 value
Row:212,Test Case:B182F29 FDC10, Step Name: For loop: Start value = 244, Stop value = 136, iterator -= 12
Row:213,Test Case:B182F29 FDC10, Step Name: (In for loop) Check FDC10 value
Row:214,Test Case:B182F29 FDC10, Step Name: (In for loop) Wait 1s for the next FDC10 test period
Row:215,Test Case:B182F29 FDC10, Step Name: Check FDC10 value
Row:223,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:225,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:226,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:227,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:228,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:229,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:230,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:231,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:233,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:235,Test Case:ECU voltage measurement WMA, Step Name: Wait 80ms
Row:236,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:237,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:238,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:239,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:240,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:241,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:242,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:243,Test Case:ECU voltage measurement WMA, Step Name: Wait 100ms
Row:244,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:245,Test Case:ECU voltage measurement WMA, Step Name: Wait 50ms
Row:246,Test Case:ECU voltage measurement WMA, Step Name: Check the value of the voltage presented by the SWM
Row:254,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:259,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:260,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:261,Test Case:B182F29 DTC lifecycle, Step Name: Wait for TRC EN
Row:262,Test Case:B182F29 DTC lifecycle, Step Name: Wait for 11s until DTC reached TestPass Limit
Row:263,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:264,Test Case:B182F29 DTC lifecycle, Step Name: Check if the DTC is absent in response
Row:265,Test Case:B182F29 DTC lifecycle, Step Name: Disconnect F&R washer wire
Row:268,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:271,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFf"
Row:272,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:273,Test Case:B182F29 DTC lifecycle, Step Name: Connect F&R washer wire
Row:275,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:276,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:278,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:279,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:280,Test Case:B182F29 DTC lifecycle, Step Name: Disconnect F&R washer wire
Row:281,Test Case:B182F29 DTC lifecycle, Step Name: Check that the SWMLeLvrDiagLeLvrDiagc value has been set to 4 within 2s
Row:283,Test Case:B182F29 DTC lifecycle, Step Name: Wait for transfer DTC status to long term memory
Row:284,Test Case:B182F29 DTC lifecycle, Step Name: Connect F&R washer wire
Row:285,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "ECU hard reset"
Row:286,Test Case:B182F29 DTC lifecycle, Step Name: Wait for start diagnostics
Row:287,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:288,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:289,Test Case:B182F29 DTC lifecycle, Step Name: Wait for TRC EN
Row:290,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:291,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:292,Test Case:B182F29 DTC lifecycle, Step Name: Wait for 11s until DTC reached TestPass Limit
Row:293,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:294,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:295,Test Case:B182F29 DTC lifecycle, Step Name: Wait for transfer DTC status to long term memory
Row:296,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "ECU hard reset"
Row:298,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:299,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:301,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:302,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:304,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Clear Diagnostic Information"
Row:305,Test Case:B182F29 DTC lifecycle, Step Name: Wait 10ms
Row:306,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:307,Test Case:B182F29 DTC lifecycle, Step Name: Check DTC status
Row:309,Test Case:B182F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:310,Test Case:B182F29 DTC lifecycle, Step Name: Check if the DTC is absent in response
Row:315,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Disconnect F&R washer wire
Row:318,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Check if the DTC is absent in response
Row:320,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:321,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Check if the DTC is absent in response
Row:323,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:325,Test Case:R&F washer buttons floating pins DTC Basic Verification, Step Name: Connect F&R washer wire
Row:333,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:338,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:339,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:340,Test Case:B183F29 DTC lifecycle, Step Name: Wait for TRC EN
Row:341,Test Case:B183F29 DTC lifecycle, Step Name: Wait for 11s until DTC reached TestPass Limit
Row:342,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:343,Test Case:B183F29 DTC lifecycle, Step Name: Check if the DTC is absent in response
Row:344,Test Case:B183F29 DTC lifecycle, Step Name: Disconnect EPB
Row:347,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:350,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:351,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:352,Test Case:B183F29 DTC lifecycle, Step Name: Connect EPB
Row:354,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:355,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:357,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:358,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:359,Test Case:B183F29 DTC lifecycle, Step Name: Disconnect EPB
Row:360,Test Case:B183F29 DTC lifecycle, Step Name: Check that the SWMRiLvrDiagRiLvrDiag value has been set to 3 within 2s
Row:362,Test Case:B183F29 DTC lifecycle, Step Name: Wait for transfer DTC status to long term memory
Row:363,Test Case:B183F29 DTC lifecycle, Step Name: Connect EPB
Row:364,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "ECU hard reset"
Row:365,Test Case:B183F29 DTC lifecycle, Step Name: Wait for start diagnostics
Row:366,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:367,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:368,Test Case:B183F29 DTC lifecycle, Step Name: Wait for TRC EN
Row:369,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:370,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:372,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:373,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:374,Test Case:B183F29 DTC lifecycle, Step Name: Wait for transfer DTC status to long term memory
Row:375,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "ECU hard reset"
Row:377,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:378,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:380,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:381,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:383,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Clear Diagnostic Information"
Row:384,Test Case:B183F29 DTC lifecycle, Step Name: Wait 10ms
Row:385,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:386,Test Case:B183F29 DTC lifecycle, Step Name: Check DTC status
Row:388,Test Case:B183F29 DTC lifecycle, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:389,Test Case:B183F29 DTC lifecycle, Step Name: Check if the DTC is absent in response
Row:394,Test Case:EPB floating pins DTC Basic Verification, Step Name: Disconnect EPB
Row:397,Test Case:EPB floating pins DTC Basic Verification, Step Name: Check if the DTC is absent in response
Row:399,Test Case:EPB floating pins DTC Basic Verification, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:400,Test Case:EPB floating pins DTC Basic Verification, Step Name: Check if the DTC is absent in response
Row:402,Test Case:EPB floating pins DTC Basic Verification, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:404,Test Case:EPB floating pins DTC Basic Verification, Step Name: Connect EPB
Row:415,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for TRC EN
Row:416,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Press and hold EPB
Row:417,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check that the SWMRiLvrDiagRiLvrDiag value has been set to 2 within 200s
Row:418,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for 16s until DTC reached TestFail Limit
Row:419,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Release EPB
Row:420,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:421,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check if DTC is present in response
Row:422,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait 10ms
Row:423,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:424,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for start diagnostics
Row:425,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check OCC6 value
Row:426,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait 10ms
Row:427,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:428,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for start diagnostics
Row:429,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check OCC6 value
Row:430,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for TRC EN
Row:431,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Press and hold EPB
Row:432,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: For loop: Start value = 2, Stop value = 255, iterator+= 1
Row:433,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop)Check that the SWMRiLvrDiagRiLvrDiag value has been set to 2 within 200s
Row:434,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop)Wait for 16s until DTC reached TestFail Limit
Row:435,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop)Send diagnostic request "ECU hard reset"
Row:436,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop)Wait for start diagnostics
Row:437,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop)Check OCC6 value
Row:438,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: (In for loop) Wait for TRC EN
Row:439,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check that the SWMRiLvrDiagRiLvrDiag value has been set to 2 within 200s
Row:440,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for 16s until DTC reached TestFail Limit
Row:441,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:442,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for start diagnostics
Row:443,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check OCC6 value
Row:444,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for 16s until DTC reached TestPass Limit
Row:445,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:446,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Wait for start diagnostics
Row:447,Test Case:B183F2A - OCC 6 Consecutive number of faulty operation cycles, Step Name: Check OCC6 value
Row:457,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Send diagnostic request "ReportDTCExtendedDataRecordByDTCNumber 4"
Row:458,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Check response length
Row:459,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait for TRC EN
Row:460,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Press and hold the EPB
Row:464,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Release the EBP
Row:465,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:466,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait for start diagnostics
Row:467,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Check OCC4 value
Row:468,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait 16s for DTC reached TestPass Limit
Row:469,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:470,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait for start diagnostics
Row:471,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Check OCC4 value
Row:472,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Press and hold the EPB
Row:473,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: For loop: Start value = 2, Stop value = 255, iterator+= 1
Row:474,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Check that the SWMRiLvrDiagRiLvrDiag value has been set to 2 within 200s
Row:475,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Wait 16s for DTC reached TestFail Limit
Row:476,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Send diagnostic request "ECU hard reset"
Row:477,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Wait for start diagnostics
Row:478,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Check OCC4 value
Row:479,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: (In for loop) Wait for TRC EN
Row:480,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Check that the SWMRiLvrDiagRiLvrDiag value has been set to 2 within 200s
Row:481,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait 16s for DTC reached TestFail Limit
Row:482,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Send diagnostic request "ECU hard reset"
Row:483,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait for start diagnostics
Row:484,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Check OCC4 value
Row:485,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Wait for TRC EN
Row:486,Test Case:B183F2A - OCC 4 Total number of failed cycles, Step Name: Release the EPB
